"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"1","Meghalaya","Smt. Wansuk Syiem (2014-20) (2014-2020)","Elected MP","300000"
"2","West Bengal","Dr. Abhishek Manu Singhvi (2018-24) (2018-2024)","Elected MP","142163957.11"
"3","Telangana","Dr. Abhishek Manu Singhvi (2024-26) (2024-2026)","Elected MP","49078551"
"4","Odisha","Dr. Amar Patnaik (2019-24) (2019-2024)","Elected MP","73563957.11"
"5","Gujarat","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","98063957.11"
"6","Tamil Nadu","Dr. Anbumani Ramadoss (2019-25) (2019-2025)","Elected MP","171563957.11"
"7","Uttar Pradesh","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","117990209.41"
"8","Uttar Pradesh","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","117663957.11"
"9","Uttar Pradesh","Dr. Ashok Bajpai (2018-24) (2018-2024)","Elected MP","98277145.11"
"10","Telangana","Dr. Banda Prakash (2018-21) (2018-2021)","Elected MP","26981979"
"11","Maharashtra","Dr. Bhagwat Karad (2020-26) (2020-2026)","Elected MP","171563957.11"
"12","Andhra Pradesh","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","137377266.67"
"13","Andhra Pradesh","Dr. C.M. Ramesh (2018-24)EX (2018-2024)","Elected MP","9663217"
"14","Maharashtra","Dr. Fauzia Khan (2020-26) (2020-2026)","Elected MP","171563957.11"
"15","Telangana","Dr. K. Keshava Rao (2020-24) (2020-2024)","Elected MP","115506785.11"
"16","Andhra Pradesh","Dr. K.V.P. Ramachandra Rao (2014-15)(A) (2014-2015)","Elected MP","29365000.28"
"17","Telangana","Dr. K.V.P. Ramachandra Rao (2015-20)(T) (2015-2020)","Elected MP","44134999.72"
"18","Tamil Nadu","Dr. Kanimozhi NVN Somu (2021-26) (2021-2026)","Elected MP","162455766.02"
"19","West Bengal","Dr. Kanwar Deep Singh (2014-20) (2014-2020)","Elected MP","24500000"
"20","Rajasthan","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","73500000"
"21","Karnataka","Dr. L. Hanumanthaiah (2018-24) (2018-2024)","Elected MP","101860153.11"
"22","Madhya Pradesh","Dr. L. Murugan (2021-24) (2021-2024)","Elected MP","98063957.11"
"23","Tamil Nadu","Dr. M. Thambi Durai (2020-26) (2020-2026)","Elected MP","211455766.03"
"24","Rajasthan","Dr. Manmohan Singh (2019-24) (2019-2024)","Elected MP","73563957.11"
"25","Gujarat","Dr. Mansukh Mandaviya (2018-24) (2018-2024)","Elected MP","117663957.11"
"26","Madhya Pradesh","Dr. Najma A. Heptulla (2012-16) (2012-2016)","Elected MP","500000"
"27","Maharashtra","Dr. Narendra Jadhav (2016-22) (2016-2022)","Nominated MP","44100000"
"28","Odisha","Dr. Prashanta Nanda (2018-24) (2018-2024)","Elected MP","73563957.11"
"29","West Bengal","Dr. Santanu Sen (2018-24) (2018-2024)","Elected MP","98063957.11"
"30","Gujarat","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","122563957.11"
"31","Maharashtra","Dr. Subramanian Swamy (2016-22) (2016-2022)","Nominated MP","44100000"
"32","Uttar Pradesh","Dr. Sudhanshu Trivedi (2019-24) (2019-2024)","Elected MP","98063957.11"
"33","Madhya Pradesh","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","197558432.37"
"34","Maharashtra","Dr. Vinay P. Sahasrabuddhe (2016-22) (2016-2022)","Elected MP","44100000"
"35","Meghalaya","Dr. Wanweiroy Kharlukhi (2020-26) (2020-2026)","Elected MP","150020358.28"
"36","Haryana","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","98063957.11"
"37","West Bengal","Ms. Dola Sen (2017-23) (2017-2023)","Elected MP","49000000"
"38","Himachal Pradesh","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","184157418.11"
"39","Chhattisgarh","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","120170033.00000001"
"40","West Bengal","Ms. Sushmita Dev (2021-23) (2021-2023)","Elected MP","73500000"
"41","West Bengal","Ms. Sushmita Dev (2024-26) (2024-2026)","Elected MP","147000000"
"42","Karnataka","Prof. M.V. Rajeev Gowda (2014-20) (2014-2020)","Elected MP","793007"
"43","Bihar","Prof. Manoj Kumar Jha (2018-24) (2018-2024)","Elected MP","92643845"
"44","Punjab","Sardar Balwinder Singh Bhunder (2016-22) (2016-2022)","Elected MP","1832860"
"45","Punjab","Sardar Sukhdev Singh Dhindsa (2016-22) (2016-2022)","Elected MP","483102"
"46","Bihar","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","235263957.11"
"47","Tamil Nadu","Shri A. Navaneethakrishnan (2016-22) (2016-2022)","Elected MP","44100000"
"48","West Bengal","Shri Abir Ranjan Biswas (2018-24) (2018-2024)","Elected MP","117663957.11"
"49","Bihar","Shri Ahmad Ashfaque Karim (2018-24) (2018-2024)","Elected MP","117663957.11"
"50","Madhya Pradesh","Shri Ajay Pratap Singh (2018-24) (2018-2024)","Elected MP","102221195.92999999"
"51","Assam","Shri Ajit Kumar Bhuyan (2020-26) (2020-2026)","Elected MP","147000000"
"52","Bihar","Shri Akhilesh Prasad Singh (2018-24) (2018-2024)","Elected MP","98063957.11"
"53","Bihar","Shri Aneel Prasad Hegde (2022-24) (2022-2024)","Elected MP","73563957.11"
"54","Uttarakhand","Shri Anil Baluni (2018-24) (2018-2024)","Elected MP","171255525.11"
"55","Maharashtra","Shri Anil Desai (2018-24) (2018-2024)","Elected MP","142163957.11"
"56","Tamil Nadu","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","211455766.03"
"57","Odisha","Shri Ashwini Vaishnaw (2019-24) (2019-2024)","Elected MP","23600000.000000015"
"58","Andhra Pradesh","Shri Ayodhya Rami Reddy Alla (2020-26) (2020-2026)","Elected MP","171722751.11"
"59","Telangana","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","119491558.57"
"60","Bihar","Shri Bashistha Narain Singh (2018-24) (2018-2024)","Elected MP","73563957.11"
"61","Assam","Shri Bhubaneswar Kalita (2020-26) (2020-2026)","Elected MP","155173957.11"
"62","Rajasthan","Shri Bhupender Yadav (2018-24) (2018-2024)","Elected MP","166663957.11"
"63","West Bengal","Shri Bikash Ranjan Bhattacharyya (2020-26) (2020-2026)","Elected MP","171563957.11"
"64","Kerala","Shri Binoy Viswam (2018-24) (2018-2024)","Elected MP","142163957.11"
"65","Assam","Shri Birendra Prasad Baishya (2019-25) (2019-2025)","Elected MP","122563957.11"
"66","Tamil Nadu","Shri C. Ve. Shanmugam (2022-26) (2022-2026)","Elected MP","186955766.02"
"67","Maharashtra","Shri Chh. Udayanraje Bhonsle (2020-24) (2020-2024)","Elected MP","98063957.11"
"68","Karnataka","Shri D. Kupendra Reddy (2014-20) (2014-2020)","Elected MP","7117637.23"
"69","Tamil Nadu","Shri D. Raja (2007-19) (2007-2019)","Elected MP","0.06"
"70","Odisha","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","123199994"
"71","Jharkhand","Shri Deepak Prakash (2020-26) (2020-2026)","Elected MP","228617458.2"
"72","Haryana","Shri Deepender Singh Hooda (2020-24) (2020-2024)","Elected MP","98063957.11"
"73","West Bengal","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","142100000"
"74","Telangana","Shri Devender Goud T. (2012-18) (2012-2018)","Elected MP","32078431.53"
"75","Maharashtra","Shri Dhairyashil Mohan Patil (2024-26) (2024-2026)","Elected MP","73500000"
"76","Telangana","Shri Dharmapuri Srinivas (2016-22) (2016-2022)","Elected MP","12862954.54"
"77","Madhya Pradesh","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","185004173.89000002"
"78","Jharkhand","Shri Dhiraj Prasad Sahu (2018-24) (2018-2024)","Elected MP","117663957.11"
"79","Madhya Pradesh","Shri Digvijaya Singh (2014-20) (2014-2020)","Elected MP","14527682.17"
"80","Madhya Pradesh","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","180514006.91000003"
"81","Gujarat","Shri Dineshchandra Jemalbhai Anavadiya (2021-23) (2021-2023)","Elected MP","73500000"
"82","Kerala","Shri Elamaram Kareem (2018-24) (2018-2024)","Elected MP","122563957.11"
"83","Karnataka","Shri G.C. Chandrashekhar (2018-24) (2018-2024)","Elected MP","98241264.11"
"84","Tamil Nadu","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","212375512.03"
"85","Uttar Pradesh","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","143213546.42000002"
"86","Telangana","Shri Garikapati Mohan Rao (2014-20) (2014-2020)","Elected MP","17140462.47"
"87","Madhya Pradesh","Shri George Kurian (2024-26) (2024-2026)","Elected MP","73500000"
"88","Karnataka","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","171563957.11"
"89","Uttar Pradesh","Shri Hardwar Dubey (2020-23) (2020-2023)","Elected MP","264000"
"90","Bihar","Shri Harivansh (2014-20) (2014-2020)","Elected MP","24500000"
"91","Bihar","Shri Harivansh (2020-26) (2020-2026)","Elected MP","353858302"
"92","Uttar Pradesh","Shri Harnath Singh Yadav (2018-24) (2018-2024)","Elected MP","73563957.11"
"93","Rajasthan","Shri Harshvardhan Singh Dungarpur (2016-22) (2016-2022)","Elected MP","44100000"
"94","Sikkim","Shri Hishey Lachungpa (2018-24) (2018-2024)","Elected MP","70393231"
"95","Karnataka","Shri Iranna Kadadi (2020-26) (2020-2026)","Elected MP","179438957.11"
"96","Himachal Pradesh","Shri Jagat Prakash Nadda (2018-24) (2018-2024)","Elected MP","74363957.11"
"97","Uttar Pradesh","Shri Jaiprakash Nishad (2020-22) (2020-2022)","Elected MP","1734846.43"
"98","Andhra Pradesh","Shri Jairam Ramesh (2004-16) (2004-2016)","Elected MP","24500000"
"99","West Bengal","Shri Jawhar Sircar (2021-24) (2021-2024)","Elected MP","147063957.11"
"100","Telangana","Shri Joginipally Santosh Kumar (2018-24) (2018-2024)","Elected MP","163515380.11"
"101","Kerala","Shri Jose K. Mani (2018-21) (2018-2021)","Elected MP",""
"102","Kerala","Shri Jose K. Mani (2021-24) (2021-2024)","Elected MP","147063957.11"
"103","Gujarat","Shri Jugalsinh Lokhandwala (2019-23) (2019-2023)","Elected MP","73500000"
"104","Madhya Pradesh","Shri Jyotiraditya M. Scindia (2020-24) (2020-2024)","Elected MP","98063957.11"
"105","Tamil Nadu","Shri K. R. Arjunan (2013-19) (2013-2019)","Elected MP","24500000"
"106","Karnataka","Shri K. Rahman Khan (2012-18) (2012-2018)","Elected MP","176166"
"107","Kerala","Shri K. Somaprasad (2016-22) (2016-2022)","Elected MP","44100000"
"108","Mizoram","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","171563957.11"
"109","Karnataka","Shri K.C. Ramamurthy (2016-19) (2016-2019)","Elected MP","15152546"
"110","Rajasthan","Shri K.C. Venugopal (2020-24) (2020-2024)","Elected MP","98063957.11"
"111","Kerala","Shri K.K. Ragesh (2015-21) (2015-2021)","Elected MP","24500000"
"112","Telangana","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","196264676.11"
"113","Tamil Nadu","Shri K.R.N. Rajeshkumar (2021-22) (2021-2022)","Elected MP",""
"114","Delhi","Shri K.T.S. Tulsi (2014-20) (2014-2020)","Nominated MP","40098744.94"
"115","Chhattisgarh","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","176045865.87"
"116","Madhya Pradesh","Shri Kailash Soni (2018-24) (2018-2024)","Elected MP","77783139.26"
"117","Assam","Shri Kamakhya Prasad Tasa (2019-24) (2019-2024)","Elected MP","98063957.11"
"118","Andhra Pradesh","Shri Kanakamedala Ravindra Kumar (2018-24) (2018-2024)","Elected MP","98063957.11"
"119","Haryana","Shri Krishan Lal Panwar (2022-24) (2022-2024)","Elected MP","98063957.11"
"120","Maharashtra","Shri Kumar Ketkar (2018-24) (2018-2024)","Elected MP","73563957.11"
"121","Madhya Pradesh","Shri La. Ganesan (2016-18) (2016-2018)","Elected MP","140000"
"122","Madhya Pradesh","Shri M. J. Akbar (2016-22) (2016-2022)","Elected MP","6321914.12"
"123","Tamil Nadu","Shri M. Mohamed Abdulla (2021-25) (2021-2025)","Elected MP","165155545.11"
"124","Tamil Nadu","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","149674366"
"125","Karnataka","Shri M.V. Rajasekharan (2002-08) (2002-2008)","Elected MP","1167892"
"126","Manipur","Shri Maharaja Sanajaoba Leishemba (2020-26) (2020-2026)","Elected MP","171563957.11"
"127","Uttarakhand","Shri Mahendra Singh Mahra (2012-18) (2012-2018)","Elected MP","44277607.96"
"128","Delhi","Shri Mahesh Jethmalani (2021-24) (2021-2024)","Nominated MP","122563957.11"
"129","Jharkhand","Shri Mahesh Poddar (2016-22) (2016-2022)","Elected MP","24500000"
"130","Karnataka","Shri Mallikarjun Kharge (2020-26) (2020-2026)","Elected MP","196000000"
"131","Andhra Pradesh","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","73767912"
"132","Assam","Shri Mission Ranjan Das (2024-25) (2024-2025)","Elected MP","24500000"
"133","West Bengal","Shri Mohammed Nadimul Haque (2018-24) (2018-2024)","Elected MP","117663957.11"
"134","Gujarat","Shri Mokariya Rambhai (2021-26) (2021-2026)","Elected MP","196063957.11"
"135","Chhattisgarh","Shri Motilal Vora (2014-20) (2014-2020)","Elected MP",""
"136","Odisha","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","171563957.11"
"137","Tamil Nadu","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","171563957.11"
"138","Puducherry","Shri N. Gokulakrishnan (2015-21) (2015-2021)","Elected MP","4924233"
"139","Tamil Nadu","Shri N.R. Elango (2020-26) (2020-2026)","Elected MP","211455766.02"
"140","Arunachal Pradesh","Shri Nabam Rebia (2020-26) (2020-2026)","Elected MP","147063957.11"
"141","Delhi","Shri Narain Dass Gupta (2018-24) (2018-2024)","Elected MP","98000000"
"142","Gujarat","Shri Naranbhai J. Rathwa (2018-24) (2018-2024)","Elected MP","73563957.11"
"143","Maharashtra","Shri Narayan Rane (2018-24) (2018-2024)","Elected MP","117663957.11"
"144","Karnataka","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","202146407.11"
"145","Gujarat","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","196063957.11"
"146","Rajasthan","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","171563957.11"
"147","Uttar Pradesh","Shri Neeraj Shekhar (2014-19) (2014-2019)","Elected MP",""
