"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2026-2027/203030","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"2","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/213626","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","09-Apr-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"3","Odisha","Construction of rooms and halls in school and colleges","WS/MP136/2023-2024/37608","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","03-Sep-2026","BIRENDRA KUMAR MEHER","Payment In-Progress","368136"
"4","Uttarakhand","Providing supply pipelines for drinking water","WS/EXRS042/2026-2027/234990","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Mahendra Singh Mahra (2012-18) (2012-2018)","Elected MP","17-Aug-2026","BDO Lohaghat","Payment In-Progress","35065"
"5","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP154/2023-2024/21876","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","04-Nov-2023","SUN ENTERPRISES","Payment In-Progress","225000"
"6","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2023-2024/12215","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","05-Sep-2026","SWAROOP TRADING COMPANY","Payment In-Progress","48974"
"7","Himachal Pradesh","Construction of public libraries and reading rooms","WS/MP080/2024-2025/109752","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Jagat Prakash Nadda (2018-24) (2018-2024)","Elected MP","07-Apr-2026","BDO BAIJNATH MPLAD Rajya Sabha","Payment In-Progress","200000"
"8","Madhya Pradesh","Construction of community centers and community halls","WS/MP010/2025-2026/210882","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","19-Dec-2025","cmobistan","Payment In-Progress","250000"
"9","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18409/2025-2026/165732","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","12-Nov-2025","TAHASILDAR PAPADAHANDI","Payment In-Progress","40210"
"10","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP232/2026-2027/155034","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","23-Jul-2026","RAO MPPKVVCL JABALPUR","Payment In-Progress","295617"
"11","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP008/2023-2024/97534","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","24-Aug-2026","RAMPURA CHAKALDI  NS","Payment In-Progress","400000"
"12","Andhra Pradesh","Construction of community centers and community halls","WS/MP031/2023-2024/14626","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","05-Sep-2026","K RAMESH BABU","Payment In-Progress","4900000"
"13","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6490","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Shri Balaji Construction","Payment In-Progress","324748"
"14","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6491","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Shri Balaji Construction","Payment In-Progress","184968"
"15","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP160/2023-2024/41004","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","16-May-2025","RAVICHANDRAN","Payment In-Progress","1"
"16","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP194/2023-2024/53493","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","29-Jul-2025","DUDA","Payment In-Progress","45076"
"17","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP191/2023-2024/33544","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Sakaldeep Rajbhar (2018-24) (2018-2024)","Elected MP","06-Nov-2024","Parmatma Brick Field","Payment In-Progress","75212"
"18","Karnataka","Providing drains and gutters for public drainage","WS/MP093/2023-2024/91191","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","15-Nov-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"19","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2026-2027/203030","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Sep-2026","EMF","Payment In-Progress","320"
"20","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP179/2023-2024/36696","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Ashok Bajpai (2018-24) (2018-2024)","Elected MP","21-Jul-2026","Vijay Traders","Payment In-Progress","494500"
"21","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP836/2023-2024/66867","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","19-May-2026","LATE DR KUBERSINGH MAHAVIDHYALAYA","Payment In-Progress","111018"
"22","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP049/2025-2026/262059","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","04-Sep-2026","SUNITA KUMARI","Payment In-Progress","1494482"
"23","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6491","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Khand vikas adhari","Payment In-Progress","22929"
"24","Uttar Pradesh","Construction of community centers and community halls","WS/MP194/2023-2024/53490","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","04-Nov-2025","PRAHLAD ENTERPRISES","Payment In-Progress","794980"
"25","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP194/2023-2024/53493","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","29-Jul-2025","PRAHLAD ENTERPRISES","Payment In-Progress","364087"
"26","Chhattisgarh","Construction of public staircase/ stair ghat for public convenience","WS/MP175/2023-2024/115302","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","15-May-2025","GRAM PANCHAYAT RENKI","Payment In-Progress","498871"
"27","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/181480","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","01-Sep-2026","RAVIKUMAR B G","Payment In-Progress","164601"
"28","Haryana","Construction of boundary walls of existing public and community buildings","WS/MP076/2025-2026/87520","JIND(DEPUTY COMMISSIONER JIND)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","20-Aug-2026","The Navdeep Co op L C Society Limited","Payment In-Progress","487363"
"29","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP063/2023-2024/9129","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Jugalsinh Lokhandwala (2019-23) (2019-2023)","Elected MP","28-May-2025","TATA MOTORS","Payment In-Progress","1791148"
"30","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP160/2026-2027/271348","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","02-Sep-2026","PINNACLE INDIA TRADERS","Payment In-Progress","1300000"
"31","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP105/2023-2024/24453","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","02-Sep-2026","Gram Panchayat Urhera","Payment In-Progress","249000"
"32","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6490","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Khand vikas adhari","Payment In-Progress","40720"
"33","Maharashtra","Construction of community centers and community halls","WS/MP110/2024-2025/136895","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Dr. Fauzia Khan (2020-26) (2020-2026)","Elected MP","04-Sep-2026","NRUSINH MAGASWARGIYA DAGADKAMAM  VA  M MAJUR SAHAKARI SAMSTHA","Payment In-Progress","1999710"
"34","Karnataka","Construction of community centers and community halls","WS/MP089/2023-2024/91147","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","02-Sep-2026","MOHAN KUMAR D B","Payment In-Progress","99960"
