"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP193/2023-2024/1252-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Shamli me Rajvahe wali Kali Sadak se Giri Raj Ke Khet Tak CC Road","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","24-Feb-2024","832774"
"2","Normal/Others","WS/MP193/2023-2024/1254-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Shamli Mai Ramesh Ke Tubewell ke pas Rajwahe wali sadak tak Nali and CC Road","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","13-Feb-2024","994268"
"3","Normal/Others","WS/MP193/2023-2024/1255-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Ujeda block Muradnagar mai Krishnpal Kai Makan Se Harindar Ke Makan Tak Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","675918"
"4","Normal/Others","WS/MP193/2023-2024/1257-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Ujeda Mai Dhanpal ke makan sai Roshan kai Ghair tak and Liyakat Ke Makan Se Jamil Ke Makan Tak Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Aug-2024","534375"
"5","Normal/Others","WS/MP193/2023-2024/1253-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Shamli Me Ompal Ke Khet Ke Pass Rajvahe wali kali sadak ki ore Moran / Ajaipal Ke Khet Tak CC rOad","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","13-Feb-2024","851615"
"6","Normal/Others","WS/MP193/2023-2024/2312-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Mahmoodpur mai Deviram Ke Makan Se Bhagat Singh ke Makan Tak Nali and Interlocking","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","20-Dec-2023","1067288"
"7","Normal/Others","WS/MP193/2023-2024/2313-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Khanpur mai Shri Ram Ke Khet Se Selak Pradhan Ke Khet Tak Nali and Interlocking","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","776189"
"8","Normal/Others","WS/MP193/2023-2024/2314-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Khanpur mai Durga Mandir Se Satpal Ke Makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","912512"
"9","Normal/Others","WS/MP193/2023-2024/2315-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya mai Daya Chand Ke Makan Se Subash Ke Makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","890710"
"10","Normal/Others","WS/MP193/2023-2024/2316-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya mai Ome ke makan se Peetam Ke makan tak Nali and Interlocking","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","917059"
"11","Normal/Others","WS/MP193/2023-2024/2317-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya me Raju Ke makan se  Bishambhar Ke makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","858151"
"12","Normal/Others","WS/MP193/2023-2024/2318-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya mai Rakme Ki Bethak Se Fundan Besla Ke makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","918647"
"13","Normal/Others","WS/MP193/2023-2024/2319-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Mahmoodpur mai Satpal ke makan se Sarkari Tube well tak Nali and Interlocking tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","20-Dec-2023","1400153"
"14","Normal/Others","WS/MP023/2023-2024/7361-Installing community drinking water plants","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing 1000 LPH RO Water plant at Bodugundapalli (V) Munneli GP B.Kodur (M) (310)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","29-Aug-2023","224998"
"15","Normal/Others","WS/MP076/2023-2024/1804-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","One water tanker for gram panchyat Chikanwas Distt. Hisar ( Capacity 5000 Liters with motor fitted & new tyers.","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","150000"
